Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8",Diode_DO-35,8,D,
"D10, D11, D12, D13, D14, D15, D9",LED_SK6812MINI,7,LED_SK6812MINI,C5149201
J1,OLED_128x32,1,OLED_128x32,
SW1,Encoder_EC11_MX,1,RotaryEncoder_Switch,
"SW2, SW3, SW4, SW5, SW6, SW7, SW8",MX_PCB_1.00u,7,SW_Push_45deg,
U1,Seeed_XIAO_RP2040,1,MCU_Seeed_XIAO_RP2040,
